q_id,time_inference_sec,total_cpu_time_sec,word_count,word_count_bin,satisfaction_score,id,query1,query2
session_021_q38,11.932825088500977,0.0008756999977776,40,2,0.0,cikm_trace_0_5_0,5,0
session_011_q02,8.87166714668274,0.0006468999999924,48,3,0.8546511627906976,cikm_trace_0_5_1,5,0
session_041_q12,11.544147729873655,0.0006958999983907,51,3,0.895,cikm_trace_0_5_2,5,0
session_049_q07,11.242141962051392,0.0008679000020492,24,0,0.6288888888888888,cikm_trace_0_5_3,5,0
session_017_q03,6.25853419303894,0.0007174000002123,50,3,0.9274509803921568,cikm_trace_0_5_4,5,0
session_013_q16,9.515503883361816,0.0007263000006786,39,2,0.0,cikm_trace_1_5_0,5,1
session_003_q09,8.32589602470398,0.000643200000013,25,0,0.725531914893617,cikm_trace_1_5_1,5,1
session_045_q02,6.477602005004883,0.0006341000007522,43,2,0.8770270270270271,cikm_trace_1_5_2,5,1
session_039_q04,7.589884996414185,0.0008367000009455,32,1,0.8591549295774648,cikm_trace_1_5_3,5,1
session_002_q07,14.357853174209597,0.0010681000001113,37,1,0.8495798319327731,cikm_trace_1_5_4,5,1
session_033_q04,9.856552362442017,0.0006735999995726,38,2,0.0,cikm_trace_2_5_0,5,2
session_028_q06,8.374903917312622,0.0009689999988039,50,3,0.8896907216494845,cikm_trace_2_5_1,5,2
session_035_q40,14.32710027694702,0.0008619999989605,62,4,0.7880733944954128,cikm_trace_2_5_2,5,2
session_016_q10,8.173534393310547,0.0008376999994651,55,3,0.889,cikm_trace_2_5_3,5,2
session_010_q05,6.5488440990448,0.0005498000000443,25,0,0.853731343283582,cikm_trace_2_5_4,5,2
session_035_q09,11.11164689064026,0.0007022999980108,25,0,0.0,cikm_trace_3_5_0,5,3
session_039_q23,12.519126415252686,0.0007323000027099,46,3,0.8873015873015873,cikm_trace_3_5_1,5,3
session_020_q37,9.066783905029297,0.0008612999990872,31,1,0.8263157894736842,cikm_trace_3_5_2,5,3
session_034_q29,12.077321767807009,0.0006931999996594,32,1,0.7535211267605634,cikm_trace_3_5_3,5,3
session_021_q03,12.048856258392334,0.0008346000013261,61,4,0.8293577981651377,cikm_trace_3_5_4,5,3
session_040_q05,11.62895679473877,0.0008364999994228,59,4,0.0,cikm_trace_4_5_0,5,4
session_016_q08,12.573805570602415,0.0006871000005048,44,2,0.8270833333333333,cikm_trace_4_5_1,5,4
session_043_q26,11.166081190109251,0.0007549999936598,30,0,0.7860759493670886,cikm_trace_4_5_2,5,4
session_010_q22,8.960733413696289,0.0012784999989889,42,2,0.7918918918918919,cikm_trace_4_5_3,5,4
session_030_q40,7.705809354782104,0.0008915000016712,72,4,0.9203252032520324,cikm_trace_4_5_4,5,4
session_035_q09,11.11164689064026,0.0007022999980108,25,0,0.0,cikm_trace_5_5_0,5,5
session_007_q24,9.541366815567017,0.0007792999999764,29,0,0.6730769230769231,cikm_trace_5_5_1,5,5
session_025_q11,9.945584058761597,0.0006978000001254,30,0,0.6879310344827586,cikm_trace_5_5_2,5,5
session_013_q07,16.46427059173584,0.0008664000006318,73,4,0.8539393939393939,cikm_trace_5_5_3,5,5
session_042_q25,6.334835529327393,0.0007736000006843,49,3,0.937962962962963,cikm_trace_5_5_4,5,5
session_012_q31,17.291371822357178,0.0008233999997173,69,4,0.0,cikm_trace_6_5_0,5,6
session_040_q28,13.216628551483154,0.0007802000000082,47,3,0.8194174757281554,cikm_trace_6_5_1,5,6
session_032_q09,8.251173257827759,0.000609799999438,29,0,0.7627450980392156,cikm_trace_6_5_2,5,6
session_010_q24,8.445342302322388,0.0007114999998519,31,1,0.8257575757575757,cikm_trace_6_5_3,5,6
session_007_q39,10.976771593093872,0.0007837999996807,32,1,0.825,cikm_trace_6_5_4,5,6
session_044_q29,15.800192594528198,0.0006570999976247,24,0,0.0,cikm_trace_7_5_0,5,7
session_032_q10,12.06700348854065,0.0006786000012652,32,1,0.8489795918367347,cikm_trace_7_5_1,5,7
session_004_q38,14.622955083847046,0.0008888999998361,48,3,0.7404255319148936,cikm_trace_7_5_2,5,7
session_001_q33,10.758336544036863,0.0015286999999943,87,4,0.9101351351351352,cikm_trace_7_5_3,5,7
session_034_q16,7.512968063354492,0.0007089000009726,24,0,0.773469387755102,cikm_trace_7_5_4,5,7
session_029_q31,16.5759699344635,0.0008808000002317,40,2,0.0,cikm_trace_8_5_0,5,8
session_046_q24,10.807003498077393,0.000905099997908,70,4,0.9111888111888112,cikm_trace_8_5_1,5,8
session_045_q14,9.880635261535645,0.0007707000004301,67,4,0.912781954887218,cikm_trace_8_5_2,5,8
session_007_q24,9.541366815567017,0.0007792999999764,29,0,0.6730769230769231,cikm_trace_8_5_3,5,8
session_022_q26,7.815410614013672,0.0006651000003329,38,2,0.836,cikm_trace_8_5_4,5,8
session_023_q05,7.26842737197876,0.0007186999991972,30,0,0.0,cikm_trace_9_5_0,5,9
session_036_q23,8.98146653175354,0.0006860000012237,26,0,0.8261904761904761,cikm_trace_9_5_1,5,9
session_030_q18,7.586327791213989,0.0006855000010545,28,0,0.7395833333333333,cikm_trace_9_5_2,5,9
session_011_q19,10.395954847335815,0.0007806000003254,49,3,0.8228915662650602,cikm_trace_9_5_3,5,9
session_028_q06,8.374903917312622,0.0009689999988039,50,3,0.8896907216494845,cikm_trace_9_5_4,5,9
session_002_q01,11.83164882659912,0.0010594999999966,30,0,0.0,cikm_trace_10_5_0,5,10
session_014_q18,17.08934235572815,0.0009050000007845,47,3,0.8825174825174825,cikm_trace_10_5_1,5,10
session_018_q21,15.093576669692991,0.0008302000005641,28,0,0.6569230769230769,cikm_trace_10_5_2,5,10
session_015_q05,8.185211420059204,0.0006020999999236,30,0,0.7775862068965518,cikm_trace_10_5_3,5,10
session_017_q06,14.755193948745728,0.0008329000002049,52,3,0.8602941176470589,cikm_trace_10_5_4,5,10
session_026_q02,16.133684396743774,0.000719099998605,54,3,0.0,cikm_trace_11_5_0,5,11
session_010_q36,15.774277210235596,0.0009576000002197,64,4,0.8674074074074074,cikm_trace_11_5_1,5,11
session_015_q35,10.414010763168337,0.0007649999997737,49,3,0.8411764705882353,cikm_trace_11_5_2,5,11
session_048_q24,15.348559617996216,0.0008024000017029,54,3,0.807936507936508,cikm_trace_11_5_3,5,11
session_022_q28,14.592610120773315,0.0008572000006097,32,1,0.7307692307692307,cikm_trace_11_5_4,5,11
session_025_q37,15.57540726661682,0.0009248999995179,60,4,0.0,cikm_trace_12_5_0,5,12
session_041_q23,10.820499420166016,0.0007364000011875,37,1,0.8638297872340426,cikm_trace_12_5_1,5,12
session_021_q37,7.829745292663574,0.0008019000015337,26,0,0.8174603174603174,cikm_trace_12_5_2,5,12
session_047_q17,11.911336660385132,0.0007003999999141,43,2,0.82,cikm_trace_12_5_3,5,12
session_030_q39,5.651018857955933,0.0005801999996036,17,0,0.8170731707317073,cikm_trace_12_5_4,5,12
session_003_q14,12.7811119556427,0.0006814999999277,33,1,0.0,cikm_trace_13_5_0,5,13
session_042_q23,10.936737298965454,0.0006743999983881,47,3,0.918796992481203,cikm_trace_13_5_1,5,13
session_049_q29,13.521662950515749,0.0007888000000092,62,4,0.8899328859060402,cikm_trace_13_5_2,5,13
session_008_q26,5.950699329376221,0.0005358999997042,28,0,0.8508474576271187,cikm_trace_13_5_3,5,13
session_033_q06,8.424901962280273,0.0006637000005866,32,1,0.8093333333333333,cikm_trace_13_5_4,5,13
session_014_q28,9.508334159851074,0.0007813000001987,43,2,0.0,cikm_trace_14_5_0,5,14
session_020_q31,10.580898523330688,0.0008673000011185,57,4,0.9075187969924812,cikm_trace_14_5_1,5,14
session_014_q31,7.44746470451355,0.0005953999998382,26,0,0.8018518518518518,cikm_trace_14_5_2,5,14
session_012_q17,11.165437698364258,0.0007430999994539,45,2,0.8404494382022472,cikm_trace_14_5_3,5,14
session_003_q09,8.32589602470398,0.000643200000013,25,0,0.725531914893617,cikm_trace_14_5_4,5,14
session_016_q27,14.974775791168211,0.0007845999998607,42,2,0.0,cikm_trace_15_5_0,5,15
session_046_q11,16.41476035118103,0.0010872000020754,51,3,0.8733333333333333,cikm_trace_15_5_1,5,15
session_026_q19,10.37352418899536,0.0007681999995838,52,3,0.873015873015873,cikm_trace_15_5_2,5,15
session_005_q37,7.0089216232299805,0.0006628000000999,21,0,0.8134615384615385,cikm_trace_15_5_3,5,15
session_036_q05,8.217862606048584,0.0007394000003841,49,3,0.9,cikm_trace_15_5_4,5,15
session_032_q18,10.235921382904053,0.0006279000008361,47,3,0.0,cikm_trace_16_5_0,5,16
session_023_q02,10.780187368392944,0.0006260999998629,56,3,0.834020618556701,cikm_trace_16_5_1,5,16
session_027_q11,11.170264959335327,0.0009019000008265,37,1,0.8311827956989247,cikm_trace_16_5_2,5,16
session_016_q29,9.053151607513428,0.0006581999996342,24,0,0.6954545454545454,cikm_trace_16_5_3,5,16
session_028_q10,7.543789148330688,0.0007948000002214,48,3,0.8417721518987342,cikm_trace_16_5_4,5,16
session_048_q20,16.280717611312866,0.0007527999987359,48,3,0.0,cikm_trace_17_5_0,5,17
session_048_q01,10.4958758354187,0.000860800002556,56,3,0.8864406779661017,cikm_trace_17_5_1,5,17
session_001_q05,11.626749038696287,0.0006702999999958,20,0,0.6499999999999999,cikm_trace_17_5_2,5,17
session_016_q22,11.429264068603516,0.0008082000003922,38,2,0.8929203539823009,cikm_trace_17_5_3,5,17
session_019_q39,8.861002922058105,0.0007179000003815,38,2,0.856043956043956,cikm_trace_17_5_4,5,17
session_006_q38,16.468474864959717,0.0009064000000762,98,4,0.0,cikm_trace_18_5_0,5,18
session_019_q32,11.38884210586548,0.000822899999548,55,3,0.8923728813559322,cikm_trace_18_5_1,5,18
session_025_q30,9.90846562385559,0.0007852999988242,71,4,0.8573913043478261,cikm_trace_18_5_2,5,18
session_026_q12,11.932612657546995,0.0006873999991511,32,1,0.7613333333333333,cikm_trace_18_5_3,5,18
session_001_q05,11.626749038696287,0.0006702999999958,20,0,0.6499999999999999,cikm_trace_18_5_4,5,18
session_040_q19,14.583491802215576,0.0008522999996784,34,1,0.0,cikm_trace_19_5_0,5,19
session_036_q23,8.98146653175354,0.0006860000012237,26,0,0.8261904761904761,cikm_trace_19_5_1,5,19
session_030_q06,13.449254512786863,0.000715799998943,40,2,0.912258064516129,cikm_trace_19_5_2,5,19
