q_id,time_inference_sec,total_cpu_time_sec,word_count,word_count_bin,satisfaction_score,id,query1,query2,energy_total
session_023_q24,7.750739336013794,0.0007818000012775,33,1,0.0,cikm_trace_0_10_0,10,0,852.6243259615876
session_009_q26,9.730109691619871,0.0008043000002544,29,0,0.0,cikm_trace_0_10_1,10,0,1070.3563025781998
session_040_q19,14.583491802215576,0.0008522999996784,34,1,0.0,cikm_trace_0_10_2,10,0,1604.2309747436957
session_017_q16,8.105714321136475,0.0006185000002005,43,2,0.84875,cikm_trace_0_10_3,10,0,891.6625928250232
session_027_q08,5.449963331222534,0.0006477999995695,31,1,0.925974025974026,cikm_trace_0_10_4,10,0,599.5315954344551
session_010_q35,12.436243057250977,0.0007962999998197,43,2,0.8740157480314961,cikm_trace_0_10_5,10,0,1368.0305327975975
session_022_q37,13.254229307174684,0.0007528999994974,46,3,0.7875,cikm_trace_0_10_6,10,0,1458.0066332891877
session_017_q14,11.213266372680664,0.0006418000011762,30,0,0.7328125,cikm_trace_0_10_7,10,0,1233.4945999949377
session_025_q07,9.406515836715698,0.0006348999995679,26,0,0.9111111111111112,cikm_trace_0_10_8,10,0,1034.751661538703
session_017_q10,11.406305313110352,0.0008331999997607,44,2,0.8181818181818181,cikm_trace_0_10_9,10,0,1254.7394104421255
session_012_q35,9.21733546257019,0.0007905000002209,34,1,0.0,cikm_trace_1_10_0,10,1,1013.9503783827331
session_025_q38,16.602580308914185,0.0010858999994524,98,4,0.0,cikm_trace_1_10_1,10,1,1826.3435584805302
session_040_q29,12.286499977111816,0.0008923999994294,86,4,0.0,cikm_trace_1_10_2,10,1,1351.5640794822684
session_034_q34,7.428684234619141,0.0006008999989717,26,0,0.7821428571428571,cikm_trace_1_10_3,10,1,817.1883153080489
session_037_q28,6.141927003860474,0.0006514000015157,29,0,0.82,cikm_trace_1_10_4,10,1,675.6477974247355
session_019_q28,5.748187065124512,0.0006342000015138,33,1,0.8222222222222222,cikm_trace_1_10_5,10,1,632.3354581637795
session_040_q31,16.219525814056396,0.0007810999995852,43,2,0.6773809523809524,cikm_trace_1_10_6,10,1,1784.1908000461808
session_001_q14,8.818611860275269,0.0007963999999844,54,3,0.8705263157894737,cikm_trace_1_10_7,10,1,970.0911066302787
session_005_q10,8.4356107711792,0.0007576999998945,34,1,0.8783132530120482,cikm_trace_1_10_8,10,1,927.9588583297061
session_018_q21,15.093576669692991,0.0008302000005641,28,0,0.6569230769230769,cikm_trace_1_10_9,10,1,1660.33909466626
session_031_q34,16.558029651641846,0.0007292999998752,49,3,0.0,cikm_trace_2_10_0,10,2,1821.4233731805962
session_049_q33,14.42493200302124,0.0007936000001791,59,4,0.0,cikm_trace_2_10_1,10,2,1586.7861683323463
session_048_q23,9.333522081375122,0.0008373999989998,80,4,0.0,cikm_trace_2_10_2,10,2,1026.7334859512084
session_013_q34,13.31584620475769,0.0007682999994358,29,0,0.7460526315789473,cikm_trace_2_10_3,10,2,1464.785339023315
session_016_q21,10.589405536651611,0.0006924999997863,42,2,0.8305263157894737,cikm_trace_2_10_4,10,2,1164.8726965316655
session_024_q33,6.919102907180786,0.0006105000011301,28,0,0.795,cikm_trace_2_10_5,10,2,761.1348972899486
session_028_q38,15.341046810150146,0.0007920000007286,39,2,0.7293478260869566,cikm_trace_2_10_6,10,2,1687.5587091165562
session_037_q39,9.91957664489746,0.0006425999999919,36,1,0.7811594202898551,cikm_trace_2_10_7,10,2,1091.18877393872
session_014_q25,10.41854190826416,0.0007204000003184,33,1,0.7652777777777777,cikm_trace_2_10_8,10,2,1146.0792319090751
session_030_q21,7.918470859527588,0.0006668999994871,49,3,0.8918367346938776,cikm_trace_2_10_9,10,2,871.0684740480065
session_024_q28,16.849841356277466,0.0008135999996738,48,3,0.0,cikm_trace_0_11_0,11,0,1853.5272971905033
session_021_q36,12.035956382751465,0.0010383999997429,76,4,0.0,cikm_trace_0_11_1,11,0,1324.012314102647
session_003_q29,11.467116832733154,0.0010763000002497,36,1,0.0,cikm_trace_0_11_2,11,0,1261.4420481006607
session_018_q32,13.416453838348389,0.0006879999991722,31,1,0.4574468085106382,cikm_trace_0_11_3,11,0,1475.8477622182772
session_016_q13,8.058290481567383,0.0006442999992941,29,0,0.8653333333333333,cikm_trace_0_11_4,11,0,886.4473894723733
session_031_q21,12.989246606826782,0.0007523999993281,57,4,0.8873134328358209,cikm_trace_0_11_5,11,0,1428.858508750909
session_006_q08,7.361727237701416,0.0007821999997758,22,0,0.6738095238095239,cikm_trace_0_11_6,11,0,809.8330171471434
session_007_q26,10.735642433166504,0.0008198000000447,56,3,0.852,cikm_trace_0_11_7,11,0,1180.965756648318
session_042_q13,10.374825716018677,0.0007834999996701,30,0,0.8465909090909091,cikm_trace_0_11_8,11,0,1141.2739212620363
session_041_q26,6.954762935638428,0.0006126999978732,26,0,0.8559322033898304,cikm_trace_0_11_9,11,0,765.0576214201101
session_033_q10,12.028228282928469,0.0005913999993936,33,1,0.8189189189189189,cikm_trace_0_11_10,11,0,1323.1376381220982
session_036_q21,14.82551646232605,0.0007881000001361,32,1,0.0,cikm_trace_1_11_0,11,1,1630.850156355873
session_006_q38,16.468474864959717,0.0009064000000762,98,4,0.0,cikm_trace_1_11_1,11,1,1811.582087145573
session_002_q03,15.7273907661438,0.0012246000000572,49,3,0.0,cikm_trace_1_11_2,11,1,1730.0803372758212
session_049_q30,7.955882549285889,0.0012672000011661,32,1,0.8294117647058823,cikm_trace_1_11_3,11,1,875.2167764215119
session_008_q02,7.74254560470581,0.0007707000004301,31,1,0.8278688524590164,cikm_trace_1_11_4,11,1,851.7224050176627
session_042_q29,10.80094051361084,0.000660699995933,45,2,0.8135802469135802,cikm_trace_1_11_5,11,1,1188.1397949969687
session_007_q01,10.795923233032228,0.0008271999995485,34,1,0.8085365853658537,cikm_trace_1_11_6,11,1,1187.5970516335203
session_013_q13,10.96795105934143,0.0006450000000767,45,2,0.7459016393442623,cikm_trace_1_11_7,11,1,1206.5100915275616
session_040_q12,13.090455293655396,0.0006964999993214,34,1,0.86,cikm_trace_1_11_8,11,1,1439.9883898020562
session_007_q25,13.147793769836426,0.0007067000001369,26,0,0.8136363636363636,cikm_trace_1_11_9,11,1,1446.2961831820144
session_032_q10,12.06700348854065,0.0006786000012652,32,1,0.8489795918367347,cikm_trace_1_11_10,11,1,1327.407706739541
session_032_q25,11.41227960586548,0.000655200001347,20,0,0.0,cikm_trace_2_11_0,11,2,1255.386792645277
session_035_q04,16.568846940994263,0.0008635000012872,75,4,0.0,cikm_trace_2_11_1,11,2,1822.6206560094397
session_029_q26,6.3926215171813965,0.0006811000002926,43,2,0.0,cikm_trace_2_11_2,11,2,703.2258273899697
session_046_q02,11.23623514175415,0.0007895999988249,48,3,0.8672268907563025,cikm_trace_2_11_3,11,2,1236.029293592892
session_037_q01,13.062360763549805,0.0007379000016953,57,4,0.8496062992125984,cikm_trace_2_11_4,11,2,1436.9002684905718
session_010_q05,6.5488440990448,0.0005498000000443,25,0,0.853731343283582,cikm_trace_2_11_5,11,2,720.4030898949304
session_033_q07,9.69412326812744,0.0007002000002101,38,2,0.8575757575757575,cikm_trace_2_11_6,11,2,1066.39207049403
session_033_q22,6.541128873825073,0.0006450999990191,32,1,0.8876543209876543,cikm_trace_2_11_7,11,2,719.5596566207041
session_036_q30,10.737042665481567,0.0008030999997572,52,3,0.8669811320754717,cikm_trace_2_11_8,11,2,1181.118863702959
session_024_q27,14.131538152694702,0.000733199998649,49,3,0.8333333333333333,cikm_trace_2_11_9,11,2,1554.509522796343
session_030_q29,12.532791376113892,0.0007900999989941,39,2,0.8568421052631578,cikm_trace_2_11_10,11,2,1378.6505068724728
session_014_q24,7.433427333831787,0.0008026000004974,53,3,0.0,cikm_trace_3_11_0,11,3,817.721149721524
session_040_q13,10.931746006011965,0.0009446999974897,84,4,0.0,cikm_trace_3_11_1,11,3,1202.544019161178
session_035_q24,14.396759033203123,0.0007205999991128,37,1,0.0,cikm_trace_3_11_2,11,3,1583.6831266522947
session_029_q14,15.85408854484558,0.0009812999996937,53,3,0.7876106194690266,cikm_trace_3_11_3,11,3,1744.0037114329969
session_021_q24,8.176099300384521,0.0006391999995685,40,2,0.8466666666666667,cikm_trace_3_11_4,11,3,899.4060790422736
session_005_q27,9.214242696762083,0.0008465999994767,32,1,0.7409836065573769,cikm_trace_3_11_5,11,3,1013.6132596438003
session_014_q18,17.08934235572815,0.0009050000007845,47,3,0.8825174825174825,cikm_trace_3_11_6,11,3,1879.8774341301396
session_046_q13,8.784738779067993,0.0007221000014396,43,2,0.81625,cikm_trace_3_11_7,11,3,966.3609811975584
session_004_q39,12.422572374343872,0.0006379999999807,29,0,0.7434782608695651,cikm_trace_3_11_8,11,3,1366.5180511778249
session_017_q40,8.741362810134888,0.000622800000201,19,0,0.6324324324324324,cikm_trace_3_11_9,11,3,961.5841631148487
